countyName , lat , lon , speed , total
Benton County , 42.26029921 , -91.91010096 , 71 , 49
Benton County , 42.26029921 , -91.91010096 , 72 , 29
Benton County , 42.26029921 , -91.91010096 , 73 , 14
Benton County , 42.26029921 , -91.91010096 , 74 , 28
Benton County , 42.26029921 , -91.91010096 , 75 , 14
Benton County , 42.26503537 , -91.9165373 , 71 , 44
Benton County , 42.26503537 , -91.9165373 , 72 , 33
Benton County , 42.26503537 , -91.9165373 , 73 , 47
Benton County , 42.26503537 , -91.9165373 , 74 , 9
Benton County , 42.26503537 , -91.9165373 , 75 , 17
Black Hawk County , 42.416123 , -92.175483 , 71 , 59
Black Hawk County , 42.416123 , -92.175483 , 72 , 28
Black Hawk County , 42.416123 , -92.175483 , 73 , 8
Black Hawk County , 42.416123 , -92.175483 , 74 , 3
Black Hawk County , 42.416123 , -92.175483 , 75 , 20
Black Hawk County , 42.417487 , -92.177907 , 71 , 6
Black Hawk County , 42.417487 , -92.177907 , 72 , 15
Black Hawk County , 42.417487 , -92.177907 , 73 , 9
Black Hawk County , 42.417487 , -92.177907 , 74 , 1
Black Hawk County , 42.417487 , -92.177907 , 75 , 4
Black Hawk County , 42.42796629 , -92.18644573 , 71 , 43
Black Hawk County , 42.42796629 , -92.18644573 , 72 , 20
Black Hawk County , 42.42796629 , -92.18644573 , 73 , 11
Black Hawk County , 42.42796629 , -92.18644573 , 74 , 15
Black Hawk County , 42.445226 , -92.191817 , 71 , 5
Black Hawk County , 42.445226 , -92.191817 , 72 , 8
Black Hawk County , 42.445226 , -92.191817 , 73 , 3
Black Hawk County , 42.445226 , -92.191817 , 74 , 1
Black Hawk County , 42.449486 , -92.212632 , 71 , 20
Black Hawk County , 42.449486 , -92.212632 , 72 , 10
Black Hawk County , 42.449486 , -92.212632 , 73 , 8
Black Hawk County , 42.449486 , -92.212632 , 74 , 1
Black Hawk County , 42.452823 , -92.341067 , 71 , 8
Black Hawk County , 42.452823 , -92.341067 , 72 , 10
Black Hawk County , 42.452823 , -92.341067 , 75 , 6
Black Hawk County , 42.453045 , -92.339176 , 71 , 6
Black Hawk County , 42.453045 , -92.339176 , 72 , 3
Black Hawk County , 42.453045 , -92.339176 , 73 , 2
Black Hawk County , 42.453045 , -92.339176 , 74 , 3
Black Hawk County , 42.453045 , -92.339176 , 75 , 4
Black Hawk County , 42.453083 , -92.31743 , 71 , 12
Black Hawk County , 42.453083 , -92.31743 , 72 , 20
Black Hawk County , 42.453083 , -92.31743 , 75 , 6
Black Hawk County , 42.453427 , -92.370956 , 71 , 10
Black Hawk County , 42.453427 , -92.370956 , 72 , 3
Black Hawk County , 42.453427 , -92.370956 , 74 , 6
Black Hawk County , 42.453951 , -92.312806 , 71 , 11
Black Hawk County , 42.453951 , -92.312806 , 72 , 12
Black Hawk County , 42.453951 , -92.312806 , 73 , 2
Black Hawk County , 42.453951 , -92.312806 , 75 , 5
Black Hawk County , 42.454057 , -92.311892 , 72 , 7
Black Hawk County , 42.4544581 , -92.3117741 , 71 , 7
Black Hawk County , 42.4544581 , -92.3117741 , 72 , 8
Black Hawk County , 42.4544581 , -92.3117741 , 73 , 3
Black Hawk County , 42.4544581 , -92.3117741 , 75 , 3
Black Hawk County , 42.4544873 , -92.3116431 , 71 , 4
Black Hawk County , 42.4544873 , -92.3116431 , 72 , 6
Black Hawk County , 42.4544873 , -92.3116431 , 73 , 8
Black Hawk County , 42.4544873 , -92.3116431 , 74 , 6
Black Hawk County , 42.4545319 , -92.3121375 , 72 , 7
Black Hawk County , 42.4545319 , -92.3121375 , 75 , 15
Black Hawk County , 42.455472 , -92.250959 , 71 , 14
Black Hawk County , 42.455472 , -92.250959 , 72 , 8
Black Hawk County , 42.455472 , -92.250959 , 73 , 13
Black Hawk County , 42.455472 , -92.250959 , 74 , 1
Black Hawk County , 42.456257 , -92.306045 , 71 , 4
Black Hawk County , 42.456257 , -92.306045 , 72 , 15
Black Hawk County , 42.456257 , -92.306045 , 74 , 3
Black Hawk County , 42.456666 , -92.304014 , 71 , 10
Black Hawk County , 42.456666 , -92.304014 , 72 , 5
Black Hawk County , 42.456666 , -92.304014 , 73 , 3
Black Hawk County , 42.456666 , -92.304014 , 74 , 4
Black Hawk County , 42.456666 , -92.304014 , 75 , 4
Black Hawk County , 42.457631 , -92.302 , 71 , 5
Black Hawk County , 42.45858 , -92.298389 , 71 , 11
Black Hawk County , 42.45858 , -92.298389 , 72 , 6
Black Hawk County , 42.45858 , -92.298389 , 73 , 2
Black Hawk County , 42.45858 , -92.298389 , 74 , 10
Black Hawk County , 42.45858 , -92.298389 , 75 , 17
Black Hawk County , 42.459304 , -92.258037 , 71 , 10
Black Hawk County , 42.459304 , -92.258037 , 72 , 18
Black Hawk County , 42.459304 , -92.258037 , 73 , 10
